"source_id","decision","rule_id","reason","evidence","confidence","requirements","requirements_met","noncommercial","sharealike","verification_required","evaluated_at"
"SVK-2009","TRAINING_ALLOWED","R25_LIFE_PLUS_60_EXPIRED","The author's death year is documented (1936) and the Indian life+60 term has expired (1996 < 2026).","{""author_death_year"": 1936, ""term_expired"": 1996}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2010","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1928. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1928}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2011","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1913. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1913}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2012","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1921. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1921}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2013","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1908. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1908}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2014","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1927. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1927}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2015","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1928. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1928}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2016","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1928. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1928}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2017","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1939, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1939}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2018","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""none declared"", ""publication_year"": ""unknown""}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2019","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1916. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1916}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2020","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1918. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1918}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2021","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1920. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1920}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2022","NEEDS_PERMISSION","R93_RESTRICTIVE_TERMS","The holder's stated terms restrict use to 'Private and Personal Use Only', so redistribution and machine-learning training require explicit permission. First published 2012.","{""license"": ""JAIN EDUCATION INTERNATIONAL FOR PRIVATE AND PERSONAL USE ONLY"", ""publication_year"": 2012}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2023","NEEDS_PERMISSION","R93_RESTRICTIVE_TERMS","The holder's stated terms restrict use to 'Private and Personal Use Only', so redistribution and machine-learning training require explicit permission. First published 2011.","{""license"": ""JAIN EDUCATION INTERNATIONAL FOR PRIVATE AND PERSONAL USE ONLY"", ""publication_year"": 2011}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2024","NEEDS_PERMISSION","R93_RESTRICTIVE_TERMS","The holder's stated terms restrict use to 'Private and Personal Use Only', so redistribution and machine-learning training require explicit permission. Publication date not evidenced; the terms restriction alone is decisive.","{""license"": ""JAIN EDUCATION INTERNATIONAL FOR PRIVATE AND PERSONAL USE ONLY"", ""publication_year"": null}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2025","NEEDS_PERMISSION","R93_RESTRICTIVE_TERMS","The holder's stated terms restrict use to 'Private and Personal Use Only', so redistribution and machine-learning training require explicit permission. Publication date not evidenced; the terms restriction alone is decisive.","{""license"": ""JAIN EDUCATION INTERNATIONAL FOR PRIVATE AND PERSONAL USE ONLY"", ""publication_year"": null}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2026","NEEDS_PERMISSION","R93_RESTRICTIVE_TERMS","The holder's stated terms restrict use to 'Private and Personal Use Only', so redistribution and machine-learning training require explicit permission. Publication date not evidenced; the terms restriction alone is decisive.","{""license"": ""JAIN EDUCATION INTERNATIONAL FOR PRIVATE AND PERSONAL USE ONLY"", ""publication_year"": null}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2027","NEEDS_PERMISSION","R93_RESTRICTIVE_TERMS","The holder's stated terms restrict use to 'Private and Personal Use Only', so redistribution and machine-learning training require explicit permission. Publication date not evidenced; the terms restriction alone is decisive.","{""license"": ""JAIN EDUCATION INTERNATIONAL FOR PRIVATE AND PERSONAL USE ONLY"", ""publication_year"": null}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2028","NEEDS_PERMISSION","R93_RESTRICTIVE_TERMS","The holder's stated terms restrict use to 'Private and Personal Use Only', so redistribution and machine-learning training require explicit permission. Publication date not evidenced; the terms restriction alone is decisive.","{""license"": ""JAIN EDUCATION INTERNATIONAL FOR PRIVATE AND PERSONAL USE ONLY"", ""publication_year"": null}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2029","NEEDS_PERMISSION","R93_RESTRICTIVE_TERMS","The holder's stated terms restrict use to 'Private and Personal Use Only', so redistribution and machine-learning training require explicit permission. Publication date not evidenced; the terms restriction alone is decisive.","{""license"": ""JAIN EDUCATION INTERNATIONAL FOR PRIVATE AND PERSONAL USE ONLY"", ""publication_year"": null}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
